"Date","Run","Bike","Swim","Weight","Notes"
"1/4/2020","3"," "," ","160","27:48:00"
"1/7/2020","3","","","158","26:55:00"
"1/9/2020","1"," "," ","","hockey"
"1/11/2020","3","","","158","27:31:00"
"1/12/2020","3","","","158","26:51:00"
"1/14/2020","2","","","159","18:10:00"
"1/14/2020","1","","","159","9:12:00"
"1/16/2020","1"," "," ","","hockey"
"1/18/2020","3","","","157","25:20:00"
"1/20/2020","3","","","158","25:54:00"
"1/25/2020","3","","","157","24:48:00"
"1/25/2020","1","",""," "," "
"1/27/2020","1","","","156","8:10:00"
"1/30/2020","3","","","158","26:48:00"
"2/1/2020","3","","","159","26:22:00"
"2/2/2020","3","","","157","25:20:00"
"2/2/2020","1","",""," "," "
"2/8/2020","3","","","155","24:58:00"
"2/10/2020","3","","","155","27:55:00"
"2/13/2020","1","","","","hockey"
"2/16/2020","3","","","157","26:38:00"
"2/16/2020","1.62","","","157","15:00:00"
"2/20/2020","1","","","","hockey"
"2/22/2020","3","","","157","25:20:00"
"2/23/2020","1.25","","","158","14:00:00"
"2/29/2020","3","","","157","28:24:00"
"3/5/2020","1","","","","hockey"
"3/7/2020","3","","","159","26:08:00"
"4/12/2020","","","","","powerwalk"
"4/13/2020","","","","","powerwalk"
"4/14/2020","","","","","powerwalk"
"4/16/2020","","","","","powerwalk"
"4/17/2020","","","","","powerwalk"
"4/18/2020","","","","","powerwalk"
"4/19/2020","","","","","powerwalk"
"4/20/2020","","","","","powerwalk"
"4/23/2020","","","","","powerwalk"
"4/25/2020","","","","","powerwalk"
"4/26/2020","","","","","powerwalk"
"4/27/2020","","","","","powerwalk"
"4/28/2020","","","","","powerwalk"
"5/2/2020","","","","","powerwalk"
"5/6/2020","","","","","powerwalk"
"5/11/2020","","","","","powerwalk"
"5/13/2020","","","","","powerwalk"
"5/14/2020","","","","","powerwalk"
"5/15/2020","","","","","powerwalk"
"5/17/2020","","","","","powerwalk"
"5/20/2020","","","","","powerwalk"
"5/24/2020","","","","","powerwalk"
"5/26/2020","","","","","powerwalk"
"6/4/2020","","","","","powerwalk"
"6/6/2020","1.75","","",""," "
"6/7/2020","","","","","powerwalk"
"6/8/2020","","","","","powerwalk"
"6/9/2020","1.75","","","161"," "
"6/10/2020","2.5","","","",""
"6/11/2020","","","","","powerwalk"
"6/13/2020","3.7","","",""," "
"6/14/2020","","","","","powerwalk"
"6/15/2020","3.7","","",""," "
"6/16/2020","3.7","","",""," "
"6/17/2020","","","","","powerwalk"
"6/18/2020","","","","","powerwalk"
"6/20/2020","3.7","","",""," "
"6/21/2020","3.7","","",""," "
"6/22/2020","3.7","","",""," "
"6/23/2020","3.7","","",""," "
"6/24/2020","3.7","","",""," "
"6/25/2020","3.7","","",""," "
