"Date","Run","Bike","Swim","Weight","Notes"
"6/26/2020","3.7","","",""," "
"6/28/2020","","","","","powerwalk"
"6/30/2020","3.7","","",""," "
"7/2/2020","3.7","","","","41:08:00"
"7/4/2020","3.7","","","","39:57:00"
"7/5/2020","3.7","","","","38:15:00"
"7/7/2020","3.7","","","","38:43:00"
"7/8/2020","3.7","","","161","38:55:00"
"7/13/2020","3.7","","","","38:59:00"
"7/14/2020","3.7","","","","38:50:00"
"7/16/2020","3.7","","","","37:28:00"
"7/19/2020","3.7","","","","37:27:00"
"7/21/2020","2.5","","",""," "
"7/22/2020","3.7","","","161","36:49:00"
"7/25/2020","3.7","","","","37:14:00"
"7/26/2020","3.7","","","","38:22:00"
"7/27/2020","3.7","","","","40:06:00"
"7/28/2020","3.7","","","","42:34:00"
"7/29/2020","3.7","","","","40:07:00"
"7/30/2020","3.7","","","","38:28:00"
"7/31/2020","3.7","","","","40:49:00"
"8/9/2020","3.7","","","160","39:14:00"
"8/10/2020","3.7","",""," ","38:47:00"
"8/11/2020","3.7","","","","39:29:00"
"8/12/2020","3.7","","","","39:45:00"
"8/13/2020","3.7","","","159","41:11:00"
"8/14/2020","3.7","","","","39:49:00"
"8/15/2020","3.7","","","","39:36:00"
"8/16/2020","3.7","","","","41:51:00"
"8/17/2020","3.7","","","","41:49:00"
"8/22/2020","3.7","","","","36:52:00"
"8/23/2020","3.7","","","","36:11:00"
"8/24/2020","3.7","","","","39:35:00"
"9/1/2020","3.7","","","","39:27:00"
"9/7/2020","3.7","","","","37:30:00"
"9/8/2020","3.7","","","","38:31:00"
"9/8/2020","3.7","","","","39:08:00"
"9/18/2020","3.7","","","","39:51:00"
"9/19/2020","1.75","","",""," "
"9/20/2020","","","","",""
"9/21/2020","","","","",""
"9/22/2020","","","","",""
"9/25/2020","3.7","","","","38:01:00"
"9/29/2020","3.7","","","","37:58:00"
"10/2/2020","3.7","","","","37:03:00"
"10/3/2020","3.7","","","","36:46:00"
"10/4/2020","3.7","","","","37:06:00"
"10/13/2020","5.1","","","","55:17:00"
"10/15/2020","5.1","","","","55:09:00"
"10/18/2020","5.1","","","","50:51:00"
"10/22/2020","2","","",""," "
"10/23/2020","5.1","","","","52:55:00"
"10/26/2020","5.1","","","","55:04:00"
"10/29/2020","5.1","","","","53:54:00"
"11/1/2020","5.1","","","","50:20:00"
"11/6/2020","5.1","","","","52:22:00"
"11/7/2020","5.1","","","","56:58:00"
"11/9/2020","5.1","","","","53:41:00"
"11/10/2020","5.1","","","","56:43:00"
"11/11/2020","3.7","","","","39:09:00"
"11/17/2020","5.1","","","","56:29:00"
"11/21/2020","5.1","","","","53:49:00"
"12/14/2020","3.7","","","","40:04:00"
"12/19/2020","3.7","","","","40:14:00"
"12/20/2020","3.7","","","","41:05:00"
"12/24/2020","3.7","","","","41:06:00"
"12/26/2020","3.7","","","","39:51:00"
"12/27/2020","3.7","","","","41:25:00"
"12/29/2020","3.7","","","","39:58:00"
