"Date","Run","Bike","Swim","Weight","Notes"
"1/14/2018","","","750","","white g"
"1/17/2018","3.25","","","146","33:37:00"
"1/20/2018","4","","","148","37:52:00"
"1/26/2018","4.5","","","147","43:15:00"
"1/28/2018","","","1250","","blue g"
"1/31/2018","5","","","147","47:15:00"
"2/4/2018","","","1000","","clear g"
"2/4/2018","4.5","","","146","42:32:00"
"2/7/2018","4.63","","","146","45:00:00"
"2/15/2018","3","","","147","27:22:00"
"2/17/2018","3","","","149","25:26:00"
"2/18/2018","","","1250","","blue g"
"2/23/2018","3","","","147","28:51:00"
"2/25/2018","","","1150","","clear g"
"2/27/2018","4.5","","","146","42:45:00"
"3/1/2018","3","","","147","28:15:00"
"3/1/2018","2.25","",""," ","21:30:00"
"3/3/2018","","","1250","","blue g"
"3/7/2018","3","","","147","28:30:00"
"3/9/2018","3","","","148","29:36:00"
"3/9/2018","2","","","","19:10:00"
"3/11/2018","","","750","","white g"
"3/16/2018","3","","","147","26:48:00"
"3/19/2018","3","","","148","28:16:00"
"3/23/2018","3.1","","","147","25:35:00"
"3/25/2018","","","1600","","blue g"
"3/28/2018","3","","","147","26:28:00"
"3/31/2018","","","1600","","white g"
"4/5/2018","3.1","","","146","28:31:00"
"4/7/2018","3.1","","","148","26:50:00"
"4/16/2018","3.5","","","146","37:00:00"
"4/21/2018","2.5","","","147","25:00:00"
"4/21/2018","1.25","","","147","12:30:00"
"4/23/2018","4.5","","","146","44:00:00"
"4/25/2018","4","","","148","38:00:00"
"4/28/2018","5","","","147","47:50:00"
"4/29/2018","","","1000","","blue g"
"5/2/2018","3","","","147","29:50:00"
"5/4/2018","4","","","146","37:32:00"
"5/6/2018","","","1000","","white g"
"5/6/2018","3","","","147","28:47:00"
"5/8/2018","4","","","146","37:20:00"
"5/11/2018","3.5","","","146","33:00:00"
"5/13/2018","","","1000","","clear g"
"5/13/2018","3","","","146","27:00:00"
"5/19/2018","3","","","146","27:00:00"
"5/26/2018","3","","","146","27:00:00"
"5/27/2018",""," ","2000","","white g"
"6/3/2018",""," ","2000","","white g"
"6/9/2018","3","","","147","25:46:00"
"6/10/2018","","","2000","","clear g"
"6/17/2018","","","1050","","clear g"
"6/24/2018","","","2000","","white g"
"7/21/2018","2.5","","","146",""
"7/22/2018","","","900","","blue g"
"8/8/2018","2","","","147","19:40"
"8/11/2018","3","","","146","28:40:00"
"8/12/2018",""," ","1050"," ","white g"
"8/17/2018","3","","","","29:06:00"
"8/19/2018",""," ","1050"," ","white g"
"8/19/2018","3","","","146","28:40:00"
"8/25/2018","","","1000","","white g"
"8/25/2018","2","","","144","18:50:00"
"8/31/2018","","","1250","","clear g"
"9/5/2018","3","","","146","27:40:00"
"9/9/2018","3","","","146","29:40:00"
"9/15/2018","","","600","","white g"
"9/22/2018","3","","","144","29:27:00"
"9/23/2018","","","1000","","blue g"
"9/27/2018","1","","","",""
"9/29/2018","2","","","143","20:00"
"9/30/2018","","","1000","","clear g"
"10/4/2018","1","","","",""
"10/6/2018","4","","","143","36:08:00"
"10/7/2018","","","1000","","clear g"
"10/18/2018","1","","","",""
"10/29/2018","2.5","","","145","25:20:00"
"12/16/2018","2","","","145","19:18:00"
"12/20/2018","2","","","",""
"12/26/2018","2.27","","","147","22:30"
"12/29/2018","2.43","","","145","25:00:00"
