"Date","Run","Bike","Swim","Weight","Notes"
"7-Jan"," ","","750","",""
"8-Jan","3","","","",""
"9-Jan","","","750","",""
"10-Jan","3","","","",""
"11-Jan","","","750","",""
"12-Jan","","10","","",""
"13-Jan","","","750","",""
"14-Jan","3","","","",""
"15-Jan","","","750","",""
"16-Jan","","10","","",""
"17-Jan","","","500","",""
"18-Jan","","11","","",""
"19-Jan","2","7","","",""
"20-Jan","2.5","","","",""
"27-Jan","3","","1250","","bf 9.2"
"3-Feb","5.5","","","",""
"4-Feb","1.5","","750","",""
"9-Feb","2.5","8","400","",""
"10-Feb","5","18","750","",""
"13-Feb","1","","250","",""
"17-Feb","3","12.5","500","",""
"20-Feb","5","","","",""
"24-Feb","3","10","500","",""
"10-Mar","5","","","",""
"6-Apr","3","","","","145 lbs"
"19-Apr","6","","","",""
"20-Apr","","","400","",""
"22-Apr","7","","","",""
"5-May","3","","","",""
"6-May","","","500","",""
"17-May","6","","","",""
