"Date","Run","Bike","Swim","Weight","Notes"
"1/4/2017","3"," "," ","151","28:05:00"
"1/6/2017","3"," "," ","151","28:06:00"
"1/9/2017","3.8","","","151","35:00:00"
"1/12/2017","3.82","","","151","35:00:00"
"1/19/2017","3","","","151","28:06:00"
"1/23/2017","3","","","149","28:06:00"
"1/26/2017","3","","","149","28:00:00"
"1/28/2017","3","","","150","28:01:00"
"1/28/2017","1.5","","","150","15:00:00"
"2/3/2017","3","","","149","28:06:00"
"2/3/2017","2.02","","","149","2:00:00"
"2/12/2017","3.23","","","150","30:00:00"
"2/12/2017","2.56","","","150","30:00:00"
"2/17/2017","3","","","151","28:04:00"
"2/24/2017","3.22","","","151","30:00:00"
"2/26/2017","3.24","","","150","30:00:00"
"2/26/2017","3","","","150","28:22:00"
"3/3/2017","3","","","149","27:25:00"
"3/10/2017","3.68","","","149","33:00:00"
"3/13/2017","3.3","","","148","30:00:00"
"3/17/2017","3.25","","","149","30:13:00"
"3/17/2017","3.25","","","149","33:48:00"
"3/20/2017","3","","","150","27:00:00"
"3/27/2017","3.53","","","149","32:30:00"
"3/27/2017","2.5","","","149","27:30:00"
"3/30/2017","3","","","149","26:42:00"
"4/2/2017","3","","","148","26:38:00"
"4/15/2017","2.54","","","149","23:00"
"4/17/2017","3","","","150","26:40:00"
"4/21/2017","3","","","149","26:25:00"
"4/24/2017","3","","","150","28:16:00"
"4/30/2017","4.51","","","150","42:40:00"
"5/3/2017","3","","","149","27:10:00"
"5/6/2017","3","","","149","27:42:00"
"5/14/2017","3","","","150","27:32:00"
"5/26/2017","3","","","149","27:45:00"
"5/29/2017","3","","","150","27:45:00"
"6/2/2017","3","","","149","28:00:00"
"6/5/2017","3","","","150","27:58:00"
"6/18/2017","3","","","152","27:42:00"
"6/20/2017","3","","","153","28:00:00"
"6/23/2017","3","","","152","29:00:00"
"6/26/2017","3","","","151","27:50:00"
"6/29/2017","3","","","152","28:02:00"
"7/3/2017","3","","","153","28:28:00"
"7/10/2017","3","","","151","27:00:00"
"7/27/2017","2.5","","","152","23:50"
"8/2/2017","3","","","150","27:45:00"
"8/5/2017","3","","","152","27:45:00"
"8/7/2017","3","","","151","28:35:00"
"8/18/2017","3","","","","27:00:00"
"9/5/2017","4.5","","","148",""
"9/9/2017","5","","","149",""
"9/16/2017","2","","","150",""
"9/17/2017","","","500","",""
"9/23/2017","4.5","","","150",""
"9/24/2017","","","800","",""
"9/30/2017","3","","","150","27:46:00"
"10/1/2017","","","1000","",""
"10/4/2017","3","","","152","26:58:00"
"10/7/2017","3","","","151","25:32:00"
"10/8/2017","","","1250","",""
"10/15/2017","3","","","","24:59:00"
"10/15/2017","","","1600","",""
"10/29/2017","","","1600","",""
"11/2/2017","3","","","152","28:50:00"
"11/5/2017","","","1600","",""
"11/8/2017","3","","","152","26:38:00"
"11/12/2017","","","1000","",""
"11/15/2017","2","","","152","20:30"
"11/18/2017","3","","","153","28:55:00"
"11/22/2017","","","1600","",""
"11/24/2017","3","","","153","27:10:00"
"11/26/2017","","","1600","",""
"11/29/2017","","","1000","",""
"11/29/2017","3","","","152","25:16:00"
"12/2/2017","4","","","151","39:55:00"
"12/3/2017","","","1000","",""
"12/10/2017","","","1250","",""
