"Date","Run","Bike","Swim","Weight","Notes"
"1/13/2010","3","","750","","6.2 avg"
"1/16/2010","3","","","","slow"
"1/17/2010","2.5","","","","slow"
"1/18/2010","2.5","","750","","1 mi at 7 mph"
"1/31/2010","4","","","","bike / slow"
"2/6/2010","2","","750","","bike / slow"
"2/13/2010","5","","500","","long JCC"
"2/14/2010","2.5","","250","","short JCC"
"4/4/2010","3","","","","slow"
"4/5/2010","","","750","",""
"4/11/2010","4","","1000","","about 6 mph"
"4/13/2010","","","1000","",""
"4/14/2010","2","","","","frogs, 7.6"
"4/17/2010","","","500","",""
"5/8/2010","4","","","","JimG, Queeny"
"5/13/2010","3","","","","slow"
"5/16/2010","3","","","","slow"
"6/9/2010","2.5","","","","stress / slow"
"6/20/2010","3","","","","brackley"
"6/26/2010","3","","","","brackley"
"7/3/2010","4","","","","ch mall to ghiz"
"7/4/2010","3","","","","brackley"
"7/11/2010","4","","","","confed trail, rain"
"7/11/2010","","","750","",""
"7/17/2010","5","","","","AFC. 3, boiled 6 -> 7.6"
"8/17/2010","4","","","","Ghiz "
"8/23/2010","5","","","","Ghiz but faded / calves"
"8/30/2010","5","","","","Ghiz - bypass !"
"9/4/2010","6","","","","AFC. classic"
"9/5/2010","3","","","","Mikinduri"
"9/8/2010","4","","","","AFC. 2 mi at 7"
"9/11/2010","6","","","","AFC."
"9/14/2010","5","","","","AFC. 2 mi at 7"
"9/18/2010","2","","","","ADL 1-miler"
"9/19/2010","8","","","","Terry Fox"
"10/3/2010","","","","","Island trails"
"11/6/2010","","","500","","easy"
"11/7/2010","2","","","","easy "
"11/9/2010","3","","","","block in 27:42"
"11/13/2010","3","","1000","","block in 27:12"
"11/16/2010","3","","","","block 26:42"
"11/20/2010","4","","1200","","block 27:20"
"11/22/2010","3","","","","block 26:06"
"11/24/2010","3","","","","block 24:16"
"11/27/2010","3","","1000","","block 24:37"
"11/30/2010","3","","","","block 24:05"
"12/2/2010","2","","","","reno"
"12/4/2010","3","","750","","block 23:15"
"12/11/2010","3.5","","1000","","30 min stretch"
