"7/4/2010","3","","","","brackley"
"7/11/2010","4","","","","confed trail, rain"
"7/11/2010","","","750","",""
"7/17/2010","5","","","","AFC. 3, boiled 6 -> 7.6"
"8/17/2010","4","","","","Ghiz "
"8/23/2010","5","","","","Ghiz but faded / calves"
"8/30/2010","5","","","","Ghiz - bypass !"
"9/4/2010","6","","","151","AFC. classic"
"9/5/2010","3","","","","Mikinduri"
"9/8/2010","4","","","151","AFC. 2 mi at 7"
"9/11/2010","6","","","","AFC."
"9/14/2010","5","","","151","AFC. 2 mi at 7"
"9/18/2010","2","","","","ADL 1-miler"
"9/19/2010","8","","","","Terry Fox"
"10/3/2010","","","","","Island trails"
"11/6/2010","","","500","","easy"
"11/7/2010","2","","","150","easy "
"11/9/2010","3","","","149","block in 27:42"
"11/13/2010","3","","1000","149","block in 27:12"
"11/16/2010","3","","","148","block 26:42"
"11/20/2010","4","","1200","147","block 27:20"
"11/22/2010","3","","","148","block 26:06"
"11/24/2010","3","","","148","block 24:16"
"11/27/2010","3","","1000","148","block 24:37"
"11/30/2010","3","","","148","block 24:05"
"12/2/2010","2","","","148","reno"
"12/4/2010","3","","750","","block 23:15"
"12/11/2010","3.5","","1000","","30 min stretch"
"1/15/2011","2.5","750","7.2","","20 min bike, 8.4 frog"
"1/22/2011","2","750","10.5","145","30 min bike, 8.0 frog"
"1/26/2011","2.5","","","146","8.6 frog"
"1/31/2011","3","","10.8","147","30 min bike, 26:30"
"2/10/2011","2","","10.7","147","9.0 frog"
"2/12/2011","2","","16","148","8.4 frog, 45 min bike"
"2/14/2011","3","","","148","1 mi 7:45"
"2/19/2011","3","","21.6","146","3 mi 25:40"
"3/8/2011","4","","","146","4 mi ~ 6.2 mph"
"3/13/2011","3","","10.8","144","3 mi ~ 6.3"
"3/20/2011","4","","","147","9:30 pace avg"
"3/26/2011","3","","","147","27:40:00"
"3/29/2011","5","","","147","48:15:00"
"4/2/2011","6","","4","145","b1 = 26:04, b2 = 27:55"
"4/16/2011","6","","","147","59:00, walk"
"4/18/2011","3","","","147","25:12:00"
"4/23/2011","6","","","","53:30:00"
"4/30/2011","6","","","","54:00:00"
"5/23/2011","3","","","148","29:30:00"
"5/24/2011","3","","","149","25:45:00"
"5/26/2011","3","","","148","25:42:00"
"5/28/2011","3","","","148","24:51:00"
"5/30/2011","3","","","148","23:55:00"
"6/1/2011","5","","","149","46:42:00"
"6/3/2011","2","","","148","1 m at 8.5"
"6/4/2011","6","","","","53:45:00"
"6/6/2011","3","","","148","27:30:00"
"6/8/2011","5","","","147","1 2/3 blocks"
"6/10/2011","3","","","","27:52:00"
"6/19/2011","6","","","149?","2 blocks 28/25"
"6/21/2011","3","","","148?","23:55 !"
"6/23/2011","3","","","147","24:00:00"
"6/25/2011","7","","","147","2 1/3 blocks"
"6/30/2011","3","","","148","26:48:00"
"7/17/2011","4","","","149","38:45:00"
"7/25/2011","3","","","148","26:32:00"
"7/26/2011","3","","","147","23:32:00"
"8/1/2011","3","","","148","28:55:00"
"8/1/2011","3","","","","27:37:00"
"8/1/2011","3","","","","28:13:00"
"8/5/2011","3","","","148","27:08:00"
"8/6/2011","5","","","","41:40:00"
"8/14/2011","7","","","",""
"8/20/2011","4","","","146","38:05:00"
"8/21/2011","10","","","147",""
"8/24/2011","3","","","147","26:00:00"
"8/26/2011","6","","","147",""
"8/28/2011","3","","","147","25:40:00"
"8/30/2011","3","","","148","25:35:00"
"9/4/2011","9","","","","90"
"9/10/2011","3","","","","24:50:00"
"9/11/2011","3","","","148","49:00:00"
"9/17/2011","2","","","","6:59:00"
"9/20/2011","6","","","148","55:30:00"
"9/24/2011","10","","","","1:28:00"
"10/2/2011","12","","","149","1:56:00"
"10/9/2011","3","","","","25:30:00"
"10/12/2011","3","","","150","26:46:00"
"10/16/2011","13.1","","","","2:04:45"
"10/21/2011","6","","","151","56:00:00"
"10/30/2011","11","","","149","1:47:00"
"11/13/2011","8","","","153","1:18:00"
"11/19/2011","6","","","151","52:48:00"
"12/1/2011","4","","","152","36:30:00"
"12/4/2011","6","","","151","52:20:00"
"12/6/2011","6","","","152","52:41:00"
"12/11/2011","1","","","",""
"12/12/2011","5","","","153","44:35:00"
"12/15/2011","5","","","155","43:10:00"
"12/19/2011","9","","","154",""
"12/21/2011","5","","","155",""
"12/24/2011","6","","","155","54:00:00"
"1/8/2012","6","","","151","tractor pull to 8.4"
"1/11/2012","3","","","151","tractor to 9"
"1/15/2012","3","","","150","tractor 8.6"
"1/29/2012","6","","","148",""
"2/5/2012","9","","","149","3 blocks"
"2/11/2012","11","","","149","most 6.8"
"2/19/2012","3","","","148","tractor to 9.1"
"2/26/2012","3","","","145","slow, 1/2 at 8.2"
"3/4/2012","5","","","144","44:40 straight"
"3/10/2012","9","","","145","tractor to 9.2"
"3/17/2012","9","","","145","tractor to 9.4"
"3/28/2012","3","","","147","tractor to 9.2"
"3/31/2012","6","","750","148","49:12 straight"
"4/21/2012","6","","750","148",""
"5/14/2012","3","","","142","after long rest"
"5/17/2012","3","","","143","27:20:00"
"5/19/2012","5","","","141","right-side boy pain"
"5/24/2012","6","","","141","some pain, tractor"
"5/29/2012","","","1250","",""
"5/27/2012","","","750","",""
"5/30/2012","2","","","141","tractor to 9.4"
"6/1/2012","","","1000","",""
"6/2/2012","3","","","140",""
"6/3/2012","","","1250","",""
"6/5/2012","","","1250","",""
"6/7/2012","","","1250","",""
"6/9/2012","5","","1000","139",""
"6/12/2012","","","1600","","43 min"
"6/13/2012","3","","","139","sore shoulder!"
"6/16/2012","","","1250","",""
"6/19/2012","6","","","139","9.4 and 8.8"
"6/20/2012","","","1600","","45:23:00"
"6/23/2012","","","1600","","47:30:00"
"6/25/2012","3","","","138","23:38, 9.8 mph"
"6/27/2012","","","750","","22:00:00"
"7/8/2012","","","550","",""
"7/9/2012","6","","","139","23:03 (*), block 2"
"7/10/2012","","","1600","","47:00:00"
"7/14/2012","","","750","",""
"8/12/2012","","","1600","","49:00:00"
"8/17/2012","3","","","137","26:12:00"
"8/22/2012","3","","","138","25:25:00"
"8/28/2012","3","","","139","25:28:00"
"9/2/2012","4","","","138","36:30:00"
"9/18/2012","3","","","142","26:38:00"
"9/22/2012","6","","","141","58:00:00"
"9/30/2012","","","1000","","28:15:00"
"10/8/2012","","","1250","","38:11:00"
"10/18/2012","","","1000","",""
"11/25/2012","","","1000","",""
"1/14/2013","2","","","150"," "
"1/29/2013","2.5","","","148","23:30:00"
"2/3/2013","3","","","149","28:53:00"
"2/7/2013","3","5.25","","151","26:47:00"
"2/12/2013","3","","","152","27:00:00"
"2/16/2013","5","","","151","48:35:00"
"2/27/2013","5","","","153","46:41:00"
"3/24/2013","3","","","154","28:53:00"
"3/26/2013","3","","","151","27:52:00"
"4/6/2013","2.5","","","151","25:00:00"
"4/8/2013","3","","","154","28:03:00"
"4/10/2013","3","","","153","27:15:00"
"4/13/2013","3","","","154","26:50:00"
"4/14/2013","3","","","155","27:10:00"
"4/16/2013","3","","","154","26:20:00"
"4/18/2013","3","","","155","25:45:00"
"4/20/2013","3","","","154","28:50:00"
"4/20/2013","2","","","154","16:42:00"
"4/23/2013","3","","","155","26:01:00"
"4/25/2013","3","","","155","26:57:00"
"4/27/2013","3","","","154","26:07:00"
"4/28/2013","1","","","",""
"5/1/2013","4","","","155","37:50:00"
"5/5/2013","6","","","","56:00:00"
"5/13/2013","6","","","158","58:57:00"
"5/16/2013","6","","","155","58:55:00"
"5/19/2013","4","","","157","37:05:00"
"5/23/2013","6","","","157","56:43:00"
"5/26/2013","6","","","155","54:27:00"
"6/2/2013","5","","","",""
"6/5/2013","6","","","158","56:22:00"
"6/11/2013","6","","","157","56:33:00"
"6/15/2013","8","","","156",""
"6/19/2013","3","","","158",""
"6/22/2013","6","","","","54:50:00"
"6/28/2013","8","","","156",""
"7/7/2013","6","","","","1:04:00"
"7/13/2013","6","","","","55:15:00"
